model,rank_worst_log_loss,market_index,slug,question,winner_label,posterior,p_truth,log_loss,brier,confidence,correct_05
base,1,6,will-oviedo-win-the-202526-la-liga,Will Oviedo win the 2025–26 La Liga?,No,0.999999999999,9.999778782798785e-13,27.63104323789336,0.999999999998,0.999999999998,0
base,2,14,will-sunderland-finish-in-2nd-place-in-the-2025-26-english-premier-league,Will Sunderland finish in 2nd place in the 2025-26 English Premier League?,No,0.999999999999,9.999778782798785e-13,27.63104323789336,0.999999999998,0.999999999998,0
base,3,23,space-fdv-above-80m-one-day-after-launch-548-816,Space FDV above $80M one day after launch?,No,0.999999999999,9.999778782798785e-13,27.63104323789336,0.999999999998,0.999999999998,0
base,4,37,will-the-democrats-66-win-the-second-most-seats-in-the-2025-netherlands-parliamentary-election,Will the Democrats 66 win the second most seats in the 2025 Netherlands parliamentary election?,No,0.999999999999,9.999778782798785e-13,27.63104323789336,0.999999999998,0.999999999998,0
base,5,46,will-amzn-dip-to-168-in-april,Will Amazon dip to $168 in April?,No,0.999999999999,9.999778782798785e-13,27.63104323789336,0.999999999998,0.999999999998,0
base,6,52,will-russell-t-vought-be-the-next-to-leave-the-trump-cabinet-before-2027-741,Will Russell T. Vought be the next to leave the Trump Cabinet before 2027?,No,0.999999999999,9.999778782798785e-13,27.63104323789336,0.999999999998,0.999999999998,0
base,7,56,over-50m-committed-to-the-hurupay-public-sale-569-772-915-493-946-347-974,Over $50M committed to the Hurupay public sale?,No,0.999999999999,9.999778782798785e-13,27.63104323789336,0.999999999998,0.999999999998,0
base,8,66,will-phantom-launch-a-token-by-march-31-2026,"Will Phantom launch a token by March 31, 2026?",No,0.999999999999,9.999778782798785e-13,27.63104323789336,0.999999999998,0.999999999998,0
base,9,75,will-the-next-diplomatic-us-iran-meeting-be-in-iran-554,Will the next diplomatic US-Iran meeting be in Iran?,No,0.999999999999,9.999778782798785e-13,27.63104323789336,0.999999999998,0.999999999998,0
base,10,95,will-villarreal-win-the-202526-la-liga,Will Villarreal win the 2025–26 La Liga?,No,0.999999999999,9.999778782798785e-13,27.63104323789336,0.999999999998,0.999999999998,0
base,11,106,will-the-golden-state-warriors-win-the-nba-western-conference-finals,Will the Golden State Warriors win the NBA Western Conference Finals?,No,0.999999999999,9.999778782798785e-13,27.63104323789336,0.999999999998,0.999999999998,0
base,12,115,elon-musk-of-tweets-april-2026-600-619,Will Elon Musk post 600-619 tweets in April 2026?,No,0.999999999999,9.999778782798785e-13,27.63104323789336,0.999999999998,0.999999999998,0
base,13,120,will-no-qualifying-diplomatic-us-iran-meeting-occur-by-june-30-2026-216,"Will no qualifying diplomatic US-Iran meeting occur by June 30, 2026?",No,0.999999999999,9.999778782798785e-13,27.63104323789336,0.999999999998,0.999999999998,0
base,14,149,aztec-fdv-above-2b-one-day-after-launch-135-943,Aztec FDV above $2B one day after launch?,No,0.999999999999,9.999778782798785e-13,27.63104323789336,0.999999999998,0.999999999998,0
base,15,158,will-cade-cunningham-win-the-20252026-nba-mvp,Will Cade Cunningham win the 2025–2026 NBA MVP?,No,0.999999999999,9.999778782798785e-13,27.63104323789336,0.999999999998,0.999999999998,0
base,16,162,will-burnley-win-the-202526-english-premier-league,Will Burnley win the 2025–26 English Premier League?,No,0.999999999999,9.999778782798785e-13,27.63104323789336,0.999999999998,0.999999999998,0
base,17,179,based-fdv-above-4b-one-day-after-launch-291-327-536-977-517-126-211,Based FDV above $4B one day after launch?,No,0.999999999999,9.999778782798785e-13,27.63104323789336,0.999999999998,0.999999999998,0
base,18,180,will-bologna-win-the-2025-26-uefa-europa-league,Will Bologna win the 2025-26 UEFA Europa League?,No,0.999999999999,9.999778782798785e-13,27.63104323789336,0.999999999998,0.999999999998,0
base,19,194,nba-2025-26-clutch-player-of-the-year-stephen-curry,Will Stephen Curry win the 2025–2026 NBA Clutch Player of the Year?,No,0.999999999999,9.999778782798785e-13,27.63104323789336,0.999999999998,0.999999999998,0
base,20,211,elon-musk-of-tweets-april-2026-880-919,Will Elon Musk post 880-919 tweets in April 2026?,No,0.999999999999,9.999778782798785e-13,27.63104323789336,0.999999999998,0.999999999998,0
base,21,222,will-fomo-launch-a-token-by-december-31-2025,Will Fomo launch a token by December 31 2025?,No,0.999999999999,9.999778782798785e-13,27.63104323789336,0.999999999998,0.999999999998,0
base,22,235,nba-2025-26-defensive-player-of-the-year-amen-thompson,Will Amen Thompson win the 2025–2026 NBA Defensive Player of the Year?,No,0.999999999999,9.999778782798785e-13,27.63104323789336,0.999999999998,0.999999999998,0
base,23,242,will-volodymyr-zelenskyy-be-the-next-leader-out-before-2027,Will Volodymyr Zelenskyy be the next leader out before 2027?,No,0.999999999999,9.999778782798785e-13,27.63104323789336,0.999999999998,0.999999999998,0
base,24,243,will-susie-wiles-be-the-next-to-leave-the-trump-cabinet-before-2027-856,Will Susie Wiles be the next to leave the Trump Cabinet before 2027?,No,0.999999999999,9.999778782798785e-13,27.63104323789336,0.999999999998,0.999999999998,0
base,25,244,will-the-new-jersey-devils-win-the-2026-nhl-stanley-cup,Will the New Jersey Devils win the 2026 NHL Stanley Cup?,No,0.999999999999,9.999778782798785e-13,27.63104323789336,0.999999999998,0.999999999998,0
rw_volume,1,3,will-rabby-launch-a-token-by-march-31-2026,"Will Rabby launch a token by March 31, 2026?",No,0.999999999999,9.999778782798785e-13,27.63104323789336,0.999999999998,0.999999999998,0
rw_volume,2,4,will-luiz-incio-lula-da-silva-be-the-next-leader-out-before-2027,Will Luiz Inácio Lula da Silva be the next leader out before 2027?,No,0.999999999999,9.999778782798785e-13,27.63104323789336,0.999999999998,0.999999999998,0
rw_volume,3,5,will-yoon-suk-yeol-be-sentenced-to-1520-years-in-prison,Will Yoon Suk Yeol be sentenced to 15–20 years in prison?,No,0.999999999999,9.999778782798785e-13,27.63104323789336,0.999999999998,0.999999999998,0
rw_volume,4,6,will-oviedo-win-the-202526-la-liga,Will Oviedo win the 2025–26 La Liga?,No,0.999999999999,9.999778782798785e-13,27.63104323789336,0.999999999998,0.999999999998,0
rw_volume,5,7,claude-4pt7-released-by-march-31,Claude 4.7 released by March 31?,No,0.999999999999,9.999778782798785e-13,27.63104323789336,0.999999999998,0.999999999998,0
rw_volume,6,8,will-brentford-finish-in-2nd-place-in-the-2025-26-english-premier-league,Will Brentford finish in 2nd place in the 2025-26 English Premier League?,No,0.999999999999,9.999778782798785e-13,27.63104323789336,0.999999999998,0.999999999998,0
rw_volume,7,11,will-gnk-dinamo-win-the-2025-26-uefa-europa-league,Will GNK Dinamo win the 2025-26 UEFA Europa League?,No,0.999999999999,9.999778782798785e-13,27.63104323789336,0.999999999998,0.999999999998,0
rw_volume,8,12,nba-2025-26-coach-of-the-year-charles-lee,Will Charles Lee win the 2025–2026 NBA Coach of the Year?,No,0.999999999999,9.999778782798785e-13,27.63104323789336,0.999999999998,0.999999999998,0
