model,horizon,true_expected_loglik_per_step,best_wrong_expected_loglik_per_step,delta_hat,optimizer_success,optimizer_message
reversal,10,-1.3058979820625933,-1.3841792409524258,0.0782812588898325,False,
reversal,25,-1.3882821286508034,-1.4748146868235081,0.08653255817270478,False,
reversal,50,-1.419562791102162,-1.5117835878975239,0.09222079679536188,False,
reversal,100,-1.4364235689995788,-1.5291117500388278,0.09268818103924903,False,
reversal,200,-1.443278513718387,-1.5342014052786244,0.09092289156023736,False,
reversal,500,-1.4506446790736613,-1.542216820988992,0.09157214191533058,False,
reversal_burst,10,-1.5193553278601921,-1.5764320364524451,0.057076708592253,False,
reversal_burst,25,-1.6441524442204594,-1.7074168510482424,0.063264406827783,False,
reversal_burst,50,-1.6911395583393127,-1.75866892609312,0.06752936775380736,False,
reversal_burst,100,-1.7124397784424914,-1.7807409256942737,0.06830114725178227,False,
reversal_burst,200,-1.7255800499367326,-1.7947756832197435,0.06919563328301082,False,
reversal_burst,500,-1.732980834474916,-1.801744652482534,0.068763818007618,False,
reversal_momentum_burst,10,-1.6117418998606199,-1.6148404028849317,0.003098503024311805,False,
reversal_momentum_burst,25,-1.7452552824413847,-1.7497823662176362,0.004527083776251439,False,
reversal_momentum_burst,50,-1.7973649271222658,-1.8024675988495473,0.005102671727281516,False,
reversal_momentum_burst,100,-1.8178490363757138,-1.8225728998419697,0.004723863466255862,False,
reversal_momentum_burst,200,-1.8320984894783354,-1.837519060745068,0.005420571266732566,False,
reversal_momentum_burst,500,-1.8417515519808922,-1.8470386894189441,0.00528713743805187,False,
