model,n,horizon,is_final_horizon,mean_log_error,median_log_error,q10_log_error,q90_log_error,empirical_slope_delta
reversal,1000,10,False,-1.9082230521163406,-1.6591910549973794,-3.6371632214399208,-0.4493405328310874,0.09536691306616464
reversal,1000,25,False,-3.743347132759583,-3.440863030681462,-6.837166633174045,-0.9699237467380482,0.09536691306616464
reversal,1000,50,False,-6.292070211870258,-5.741861765713295,-10.955731772773857,-2.2227026655181072,0.09536691306616464
reversal,1000,100,False,-11.334190913986857,-10.89731858202257,-17.95883139062747,-5.672608757750207,0.09536691306616464
reversal,1000,200,False,-21.084795071475146,-20.58335373700147,-30.569835538720795,-12.734454739403189,0.09536691306616464
reversal,1000,500,True,-49.5358919325229,-48.5536067377148,-64.24590904271237,-35.95051534137852,0.09536691306616464
reversal_burst,1000,10,False,-1.7266558276418642,-1.5156836469421577,-3.3343932577825983,-0.432800552080953,0.07415943211935727
reversal_burst,1000,25,False,-3.2247236395778858,-2.9689843108502685,-6.102592658261244,-0.7544566594185641,0.07415943211935727
reversal_burst,1000,50,False,-5.443786698314028,-5.128314169646982,-9.472755856470043,-1.5901222075301056,0.07415943211935727
reversal_burst,1000,100,False,-9.346831247317278,-8.978074908493372,-15.095385676640442,-4.098149684063545,0.07415943211935727
reversal_burst,1000,200,False,-16.611475316057984,-16.459946812933286,-24.589921883977677,-9.178974229620527,0.07415943211935727
reversal_burst,1000,500,True,-38.30700083561401,-38.130031193362356,-51.32985269380873,-25.71716774686269,0.07415943211935727
reversal_momentum_burst,1000,10,False,-0.8890414517206464,-0.7871986199088535,-1.5382840035208003,-0.3676799795714724,0.001902744821376511
reversal_momentum_burst,1000,25,False,-1.0463745768478319,-0.8298956126741921,-2.1197263618563076,-0.25305477359865414,0.001902744821376511
reversal_momentum_burst,1000,50,False,-1.2500980887188111,-0.9263064457237175,-2.738738767046429,-0.1609720400344437,0.001902744821376511
reversal_momentum_burst,1000,100,False,-1.478917030629382,-0.9931501580834092,-3.582584874629661,-0.08280669334402503,0.001902744821376511
reversal_momentum_burst,1000,200,False,-2.0273647298713913,-1.322517575849925,-5.218350241079361,-0.03563301424486241,0.001902744821376511
reversal_momentum_burst,1000,500,True,-3.389862032548418,-1.72067973720969,-9.073861685844712,-0.003097376280026309,0.001902744821376511
